intervention,"Active, not recruiting",Completed,Enrolling by invitation,Recruiting,Terminated,Total
oxygen hood,0,1,0,0,0,1
pain,0,0,0,1,0,1
pain/neuropsychological questionnaires,0,0,0,1,0,1
pandemic control measures,0,0,0,1,0,1
paraclinical examination,0,0,0,1,0,1
paraclinical test,0,0,0,1,0,1
passed infection of sars-cov-2,0,1,0,0,0,1
patient characteristics,0,1,0,0,0,1
patient health questionnaire (phq-9),0,0,0,1,0,1
patient quality of life assessment,0,1,0,0,0,1
patient with sar-cov-2 infection,0,0,0,1,0,1
patients,1,0,0,0,0,1
patients admitted in intensive care units,0,0,0,1,0,1
patients admitted to intensive care unit with sars-cov2,0,1,0,0,0,1
patients received standard of care treatment during hospitalization,0,0,0,1,0,1
pcr value,0,0,0,1,0,1
pcr/chest ct,0,1,0,0,0,1
pcr/serology,0,0,0,1,0,1
pct,0,0,0,1,0,1
pct/serology,1,0,0,0,0,1
peep,0,0,0,1,0,1
peer support,0,0,1,0,0,1
percutaneous coronary revascularization for stemi,1,0,0,0,0,1
percutaneous treatment,0,0,0,1,0,1
performing ai algorithms on images,0,0,0,1,0,1
peripheral blood samples,0,0,0,1,0,1
peripheral lymphocytes subsets,0,0,0,1,0,1
personal protective equipment from biological hazard,0,1,0,0,0,1
personal protective testing booth,0,1,0,0,0,1
personalized ambulatory training,0,0,0,1,0,1
pet-ct of 18f-fdg,0,1,0,0,0,1
pharyngeal swab,1,0,0,0,0,1
philips lumify ultrasound system,0,1,0,0,0,1
phlebotomy,0,0,0,1,0,1
phobia questionairre,0,0,0,1,0,1
phone interview,0,0,0,1,0,1
phone interviews,0,0,0,1,0,1
phq,0,1,0,0,0,1
phq-9 depression scale,0,0,0,1,0,1
phsyiotherapy,1,0,0,0,0,1
physical activity level,0,0,0,1,0,1
physical activity program,0,0,0,1,0,1
physical examination,0,0,0,1,0,1
physiotherapy,0,1,0,0,0,1
pilot a rapid sars-cov-2 testing strategy,0,1,0,0,0,1
plasma igg levels,0,0,0,1,0,1
plasma sampling,0,0,0,1,0,1
"platelet count, platelet, mean platelet volume",0,0,0,1,0,1
"platelet count, platelet, mean platelet volume/platelet distribution width in covid-19",0,0,0,1,0,1
platelet distribution width in covid-19,0,0,0,1,0,1
"platelet function analyzer scp1, sienco, usa",0,1,0,0,0,1
plethysmography,0,0,0,1,0,1
plethysmography/dlco,0,0,0,1,0,1
poc sars-cov-2 igg antibody test,0,1,0,0,0,1
poct,1,0,0,0,0,1
point-of-care rapid anti-sars-cov-2 antibody test (orient gene biotech),0,0,0,1,0,1
point-of-care rapid anti-sars-cov-2 antibody test (orient gene biotech)/dry blood spot collection (euroimmun),0,0,0,1,0,1
point-of-care test for sars-cov-2,0,0,0,1,0,1
"point of care ultrasound including echocardiography, lung ultrasound, vascular ultrasound",0,0,0,1,0,1
polymerase chain reaction (pcr) test,1,0,0,0,0,1
polyoxidonium,0,1,0,0,0,1
polysomnography,1,0,0,0,0,1
pool lamp,0,1,0,0,0,1
pool rt-pcr,0,1,0,0,0,1
positive for sars-cov-2 infection,0,0,0,1,0,1
post-intensive care unit syndrome,0,0,0,1,0,1
post-mortem biopsies.,0,0,0,1,0,1
post-traumatic stress screening,0,0,0,1,0,1
post covid-19 functional satus scale,0,0,0,1,0,1
post traumatic stress disorder questionnaire (ptsd-8),0,0,0,1,0,1
postpartum anxiety scale scores,0,1,0,0,0,1
pre-operative screening,0,0,0,1,0,1
pre-pandemic stroke related metrics,0,0,0,1,0,1
predict admission of covid-19 patients to icu,1,0,0,0,0,1
"predict admission of covid-19 patients to icu/death with routine/quickly avalaible clinical, biological/radiological variables?",1,0,0,0,0,1
predictive factors for clinical response in patients with covid-19.,0,0,0,1,0,1
predictors adverse evolution,0,0,0,1,0,1
predictors of health care provide,0,0,0,1,0,1
prevalence of covid-19,0,1,0,0,0,1
"primary care professionals reports of potential patient safety incidents, non-covid-19 related",0,0,0,1,0,1
primary exposure status of pfizer-biontech covid-19 vaccine,1,0,0,0,0,1
"pro bnp , vitamin d",0,0,0,1,0,1
prognostic score,1,0,0,0,0,1
prone lying position,0,1,0,0,0,1
prone position on ecmo patient,0,1,0,0,0,1
proper diet,0,0,0,1,0,1
prospective chart review,0,1,0,0,0,1
prospective cohort in high body mass index patient with covid 19,0,1,0,0,0,1
prospective oberservational registry,0,0,0,1,0,1
prospective observation,0,0,0,1,0,1
proteinuria,0,1,0,0,0,1
psqi,0,1,0,0,0,1
pss,0,1,0,0,0,1
psychological,0,1,0,0,0,1
psychological stress,0,1,0,0,0,1
psychological stress/adaptation at work score (psas),0,1,0,0,0,1
psychological/sociological interviews,0,1,0,0,0,1
psychometric scale administration,0,0,0,1,0,1
ptsd,0,0,0,1,0,1
ptsd check list (pcl) scale,0,0,0,1,0,1
public health england gold standard,0,0,0,1,0,1
pulmonary function test,0,0,0,1,0,1
pulse oximeter,0,0,0,1,0,1
pwv,0,0,0,1,0,1
q-nrg metobolic cart device,0,0,0,1,0,1
q spect-ct,0,0,0,1,0,1
qualitative analysis for professionals,0,0,0,1,0,1
qualitative assessments of mental health,0,0,0,1,0,1
qualitative interviews..,0,0,0,1,0,1
quality of life diagnosis,0,0,1,0,0,1
quality of life diagnosis/therapy during the completed rct diqol,0,0,1,0,0,1
quality of life questionnaires,0,0,0,1,0,1
quality of live assessment,0,1,0,0,0,1
quantiferon,0,0,0,1,0,1
quantitative,0,0,0,1,0,1
quantitative analysis for patients,0,0,0,1,0,1
quantitative analysis for professionals,0,0,0,1,0,1
quantitative analysis of anti-sars-cov-2-antibodies,0,1,0,0,0,1
quantitative analysis of sars-cov-2 antibodies,0,1,0,0,0,1
quantitative antibody tests,0,0,0,1,0,1
quantitative sensory testing,0,0,0,1,0,1
quantitative/qualitative assessments of mental health,0,0,0,1,0,1
quantra system,0,0,1,0,0,1
quasistatic pressure-volume curve,0,0,0,1,0,1
querying the insee database,0,0,0,1,0,1
questionaire,0,1,0,0,0,1
questionnaire : preparedness for caregiving scale,0,0,0,1,0,1
questionnaire about impact of the covid-19 pandemic on orthopaedic resident training,0,1,0,0,0,1
"questionnaire administration,blood sampling",0,0,0,1,0,1
"questionnaire administration,blood sampling/genetic analyses.",0,0,0,1,0,1
questionnaire study (cross-sectional analytical clinical research),0,0,1,0,0,1
questionnaire survey,0,1,0,0,0,1
"questionnaire, phone call",0,0,0,1,0,1
questionnaire/interview,0,1,0,0,0,1
questionnaire/optional interview,0,0,0,1,0,1
questionnaires covid,0,0,0,1,0,1
questionnaires covid-,0,0,0,1,0,1
questionnaires covid/,0,0,0,1,0,1
questionnaires on psychological quality of life,0,1,0,0,0,1
questionnaires/neuropsychological assessment,0,0,0,1,0,1
"quickly avalaible clinical, biological",1,0,0,0,0,1
quidel quickvue antigen test for covid-19,0,0,0,1,0,1
radiological,0,0,0,1,0,1
radiological lung involvement evolution,0,0,0,1,0,1
radiological variables?,1,0,0,0,0,1
radiotherapy,0,1,0,0,0,1
rapid-3,0,0,1,0,0,1
rapid antibody test,0,0,0,1,0,1
rapid antigen test (panbio ag test),0,0,0,1,0,1
rapid antigen test for sars cov2,0,1,0,0,0,1
rapid antigen testing versus rt-pcr,0,1,0,0,0,1
rapid molecular test,0,0,0,1,0,1
rarefaction,0,0,0,1,0,1
reactivity,0,0,0,1,0,1
recently vaccination,0,0,0,1,0,1
recombinase,0,0,0,1,0,1
recommended treatment schedule,0,0,0,1,0,1
recording of hemodynamic monitoring,1,0,0,0,0,1
recording of respiratory monitoring,1,0,0,0,0,1
recordings of cough sounds from adults,0,0,0,1,0,1
regularly during follow up).,0,0,0,1,0,1
rehabilitation,0,0,0,1,0,1
relation between frailty,0,0,0,1,0,1
relation between frailty/clinical outcomes in elderly patients with covid-19.,0,0,0,1,0,1
relationship scales questionnaire (rsq),0,0,0,1,0,1
remote pulmonary rehabilitation,0,0,0,1,0,1
repeat sars-cov-2 igg antibodies at 45-65 days,0,1,0,0,0,1
"reporting of anosmia, ageusia",0,1,0,0,0,1
"reporting of anosmia, ageusia/other clinical symptoms",0,1,0,0,0,1
research specific blood sample,0,0,0,1,0,1
respiratory exerciser,0,0,0,1,0,1
respiratory functions,0,1,0,0,0,1
respiratory mechanics measurement,0,1,0,0,0,1
respiratory monitor,0,0,0,1,0,1
respiratory monitoring,0,0,0,1,0,1
respiratory muscles ultrasound,0,0,0,1,0,1
respiratory physiotherapy,0,1,0,0,0,1
respiratory rehabilitation,0,0,0,1,0,1
respiratory supports,0,1,0,0,0,1
respiratory swabs,0,0,0,1,0,1
"respiratory symptoms, symptoms of anxiety",0,0,0,1,0,1
"respiratory symptoms, symptoms of anxiety/depression,/post-traumatic stress screening",0,0,0,1,0,1
respiratory systems monitoring,0,0,0,1,0,1
retrospective,0,0,0,1,0,1
retrospective case-control analysis,0,1,0,0,0,1
retrospective data,0,0,0,1,0,1
retrospective data/biological samples,0,0,0,1,0,1
retrospective metagenomics on clinical samples collected during hospitalization,1,0,0,0,0,1
reverse transcription polymerase chain reaction,0,1,0,0,0,1
review of medical file,0,0,0,1,0,1
review of medical patient file,0,1,0,0,0,1
reviewed clinical records,0,1,0,0,0,1
reviewed clinical records/laboratory results,0,1,0,0,0,1
right lateral decubitus),0,0,0,1,0,1
risk factors,0,1,0,0,0,1
ritonavir,0,0,0,1,0,1
rivaroxaban,0,0,0,1,0,1
routine dental restorative procedures,0,0,0,1,0,1
rt-pcr for sars-cov-2,0,0,0,1,0,1
"s-binding igg, rbd-binding igg",0,0,0,1,0,1
"s-binding igg, rbd-binding igg/n-binding igg immunoassays/sars-cov-2 serum neutralization assay, quantitative serum immunoglobulin tests",0,0,0,1,0,1
s2 proteins of sars-cov-2 virus,0,0,0,1,0,1
safety executive's (hse) management standards indicator tool (msit) to measure work-related stress,0,1,0,0,0,1
saint george respiratory questionnaire,0,0,1,0,0,1
saliva based assay: crude rna extraction,0,0,0,1,0,1
saliva/nps test,0,0,0,1,0,1
salivary,0,1,0,0,0,1
samba ii,0,0,0,1,0,1
sars-cov-2 ab,0,1,0,0,0,1
sars-cov-2 and,0,0,0,1,0,1
sars-cov-2 and/or mis-c exposure,0,0,0,1,0,1
sars-cov-2 antibody analysis,0,0,1,0,0,1
sars-cov-2 antibody immunoassays,1,0,0,0,0,1
sars-cov-2 antibody testing,0,0,0,1,0,1
sars-cov-2 igg,0,0,0,1,0,1
sars-cov-2 mrna vaccine,1,0,0,0,0,1
sars-cov-2 pcr/serology tests,0,1,0,0,0,1
sars-cov-2 rapid diagnostic test (covid-prestoâ® igm,1,0,0,0,0,1
"sars-cov-2 rapid diagnostic test (covid-prestoâ® igm/igg, aaz, boulogne-billancourt, france)",1,0,0,0,0,1
sars-cov-2 s1,0,1,0,0,0,1
sars-cov-2 s1/s2 igg,0,1,0,0,0,1
sars-cov-2 serology,0,0,0,1,0,1
"sars-cov-2 serum neutralization assay, quantitative serum immunoglobulin tests",0,0,0,1,0,1
sars-cov-2 specific igm,0,0,0,1,0,1
sars-cov-2 specific igm/igg detection,0,0,0,1,0,1
sars-cov-2 vaccine,0,0,0,1,0,1
"sars-cov-2 vaccine(vero cell), inactivated",0,0,0,1,0,1
sars-cov-2 virus vaccines,0,0,0,1,0,1
sars-cov2 antibody measurement,0,0,0,1,0,1
sars-cov2 infection,0,0,0,1,0,1
sars - cov 2 vaccine,0,0,0,1,0,1
sars cov-2 swabs,1,0,0,0,0,1
satisfaction evaluation,0,1,0,0,0,1
scales,0,0,0,1,0,1
scales.,0,1,0,0,0,1
scanning chest x-rays/performing ai algorithms on images,0,0,0,1,0,1
screening for the components of metabolic syndrome,0,0,0,1,0,1
sedation,0,0,0,1,0,1
"selenium, zinc",0,1,0,0,0,1
"selenium, zinc/copper, vitamin a, d, e plasma concentrations during patient hospitalization",0,1,0,0,0,1
self-administered questionnaire,0,1,0,0,0,1
self-assesment questionnaire,0,1,0,0,0,1
self-reported symptom collection,0,1,0,0,0,1
self supportive care,0,0,0,1,0,1
self supportive care (ssc) alone,0,0,0,1,0,1
semen qualitative analysis,1,0,0,0,0,1
semi-directed entretien,0,0,0,1,0,1
semi-structured telephone questionnaire,0,0,0,1,0,1
semi structured interview,0,0,1,0,0,1
sending thorax ct video images via smartphone applications,0,1,0,0,0,1
sensor usage,0,1,0,0,0,1
separic-covid19 cohort,0,1,0,0,0,1
sequencing,0,0,0,1,0,1
serial seroconversion measurements in hospital employees during the covid-19 pandemic,0,0,0,1,0,1
serodiagnosis of igg,0,0,0,1,0,1
serodiagnosis of igg/igm,0,0,0,1,0,1
serologic assays for antibodies to sars-cov-2,0,0,0,1,0,1
serologic immune response evaluation,0,0,0,1,0,1
serologic immunoassays to sars-cov-2 antibodies,0,0,0,1,0,1
serologic test,0,0,0,1,0,1
serological assay for sars-cov-2,0,0,0,1,0,1
serological covid-19 vaccine immunogenicity,0,0,0,1,0,1
serological surveillance,0,0,0,1,0,1
serology test for covid-19,0,0,0,1,0,1
"serology testing, rt pcr",0,0,0,1,0,1
serology tests,0,1,0,0,0,1
seroprevalence of sars-cov-2 infection in patients with hiv infection,0,0,0,1,0,1
"serum collection, adverse events collection",0,0,0,1,0,1
serum neurofilaments as a marker of neurological damage.,0,0,0,1,0,1
serum neutralization,0,1,0,0,0,1
serum ngal,0,0,0,1,0,1
serum ngal/cystatin c,0,0,0,1,0,1
serum protein level analysis,0,1,0,0,0,1
service of questionnaire,0,1,0,0,0,1
settings,0,0,0,1,0,1
severe acute respiratory syndrome coronavirus 2 detection,0,1,0,0,0,1
sex hormones,0,1,0,0,0,1
sg diagnostics covid-19 antigen rapid test kit,1,0,0,0,0,1
simple chest tomography,0,1,0,0,0,1
simulation of repurposed drugs for covid-19,1,0,0,0,0,1
single-nucleotide polymorphisms (snp) within the tcra,0,0,0,1,0,1
single-nucleotide polymorphisms (snp) within the tcra/d region,0,0,0,1,0,1
sinopharm,0,0,0,1,0,1
sivomixx,1,0,0,0,0,1
six-minute walk test (6mwt),0,0,0,1,0,1
six minutes walk test,0,0,0,1,0,1
smartphone-based voice,0,1,0,0,0,1
smartphone-based voice/self-reported symptom collection,0,1,0,0,0,1
smartphone technology,1,0,0,0,0,1
social distancing,0,1,0,0,0,1
social media,0,1,0,0,0,1
social media campaigns encouraging cancer screening.,0,0,0,1,0,1
social media/news consumption,0,1,0,0,0,1
sociodemographic,0,1,0,0,0,1
"sociodemographic/health, daily self-assessment,/feasibility of using the opal app for covid",0,1,0,0,0,1
soluble urokinase plasminogen activator receptor,0,1,0,0,0,1
sonclot coagulation,0,1,0,0,0,1
"sonclot coagulation/platelet function analyzer scp1, sienco, usa",0,1,0,0,0,1
SOP,0,0,0,1,0,1
soton hyperinflammation score,1,0,0,0,0,1
spartan covid-19 test,0,0,0,1,0,1
spartan covid-19 v2 system,0,0,0,1,0,1
specific anti-sars-cov-2 antibodies,0,1,0,0,0,1
specific antibody,0,0,0,1,0,1
specific antibody/cellular immune response after anti-sars-cov-2 vaccine administration,0,0,0,1,0,1
specimen collection,0,0,0,1,0,1
speq (specific psychotic experiences questionnaire) - paranoia,0,1,0,0,0,1
speq (specific psychotic experiences questionnaire) - paranoia/grandiosity subscales,0,1,0,0,0,1
sperm collection,0,0,0,1,0,1
"spirometry, thoracic ct, cpet, 6 minute walking test, sf-36 questionnaire",0,0,1,0,0,1
sputnik v,1,0,0,0,0,1
st. george's respiratory questionnaire (sgrq),0,0,0,1,0,1
standard of health care,0,0,0,1,0,1
state-trait anxiety inventory scale,0,0,0,1,0,1
stc-19,0,1,0,0,0,1
stepped-care model,0,0,0,1,0,1
stop processing,0,0,0,1,0,1
stress,0,0,0,1,0,1
stress levels,0,1,0,0,0,1
stress levels/mental well-being assessment,0,1,0,0,0,1
stress/anxiety questionnaire,0,0,0,1,0,1
stroke related metrics during the pandemic,0,0,0,1,0,1
study a,0,0,0,1,0,1
study arm,0,0,0,1,0,1
study b,0,0,0,1,0,1
study c,0,0,0,1,0,1
study d,0,0,0,1,0,1
study of immune-mediated mechanisms in patients tested positive for sars-cov-2,0,0,0,1,0,1
study questionnaire,0,0,0,1,0,1
subacute rehabilitation,0,0,0,1,0,1
"supar, c-reactive protein, ferritin, d-dimer, procalcitonin, interleukin-6, lactate dehydrogenase",1,0,0,0,0,1
surfactant,1,0,0,0,0,1
surge capacity,0,1,0,0,0,1
surge index,0,1,0,0,0,1
"surgery: dynamic hip screw, hemiarthroplasty, hip replacement, intramedullary nail",0,1,0,0,0,1
surgical procedure for cancer,0,0,0,1,0,1
surgical procedures performed under general anesthesia,0,1,0,0,0,1
surgical repair,0,0,0,1,0,1
survey/questionnaire,1,0,0,0,0,1
surveys/questionnaires,0,1,0,0,0,1
susceptibility to infection,0,0,0,1,0,1
suspected of covid-19 infection,0,0,0,1,0,1
swab,0,0,0,1,0,1
swabbing of conjunctiva,0,1,0,0,0,1
swallowing evaluation with the eat-10,0,0,0,1,0,1
swallowing evaluation with the eat-10/the volume-viscosity swallowing test (v-vst),0,0,0,1,0,1
symptom,0,1,0,0,0,1
symptom/exposure surveys,0,1,0,0,0,1
symptoms,0,0,0,1,0,1
systemic,0,0,0,1,0,1
t-detect covid t-cell blood test,0,1,0,0,0,1
taste/olfactory function evaluation,0,1,0,0,0,1
tcm,0,1,0,0,0,1
tears swab,0,1,0,0,0,1
tele-pulmonary rehabilitation,0,0,0,1,0,1
telecare group,0,0,0,1,0,1
teleconsultation either by phone,0,1,0,0,0,1
teleconsultation either by phone/by computer consultation,0,1,0,0,0,1
telephone consult,0,0,0,1,0,1
tem-tpa,0,1,0,0,0,1
testing for sars-cov-2,0,1,0,0,0,1
testing sensitivity for sars-cov-2 virus in symptomatic individuals,0,1,0,0,0,1
testing with medical detection dogs,0,0,0,1,0,1
testnpass,0,0,0,1,0,1
th17 cytokine profile,0,0,0,1,0,1
"the demographic, clinical, laboratory,",0,1,0,0,0,1
"the demographic, clinical, laboratory,/instrumental data",0,1,0,0,0,1
the effects of covid 19 pandemic on the cardiovascular heath of children with autism spectrum disorder,1,0,0,0,0,1
the icp monitoring will be performed in a non-invasive method developed by brain4care,0,0,0,1,0,1
the placenta,0,1,0,0,0,1
"the study evaluates all surgical patients operated, both elective scheduled",0,1,0,0,0,1
"the study evaluates all surgical patients operated, both elective scheduled/emergent cases",0,1,0,0,0,1
therapy during the completed rct diqol,0,0,1,0,0,1
there is no intervention in this study,0,0,0,1,0,1
thoracic computed tomography scan,0,0,1,0,0,1
thoracic ct,0,0,0,1,0,1
thoracic ct-scan,0,0,0,1,0,1
thoracic lung ultrasound,0,1,0,0,0,1
thorax ct,0,0,0,1,0,1
thoraxic computed tomography,0,0,0,1,0,1
throat swab sample for measuring current infection with sars-cov-2,0,0,0,1,0,1
thrombin,1,0,0,0,0,1
thromboprophylaxis,0,1,0,0,0,1
thyroidectomy,0,1,0,0,0,1
titanium blood test,0,0,0,1,0,1
tlrs activation measurement,0,1,0,0,0,1
to determine the prevalence of renal dysfunction in hospitalized children with covid19 in qatar.,0,0,0,1,0,1
tobacco use,1,0,0,0,0,1
tof protocol,0,1,0,0,0,1
tomography angiography,0,1,0,0,0,1
tools development,0,0,0,1,0,1
tracheostomy,0,0,0,1,0,1
tracheostomy with aerosol box in covid-19 positive patients,0,1,0,0,0,1
traditional chinese medicine,0,0,0,1,0,1
training load,1,0,0,0,0,1
"training video on anxiety, fear",0,0,0,1,0,1
"training video on anxiety, fear/loneliness in the covid-19 environment.",0,0,0,1,0,1
transparent sheet,0,1,0,0,0,1
transplant patient,0,1,0,0,0,1
transpulmonary thermodilution,0,1,0,0,0,1
treatment data collect,0,1,0,0,0,1
treatment for covid-19,0,0,0,1,0,1
treatment group,0,1,0,0,0,1
trier social stress test,0,0,0,1,0,1
tuberculin,0,0,0,1,0,1
turkish physicians,0,1,0,0,0,1
type ii diabetes mellitus,0,0,0,1,0,1
type ii diabetes mellitus/covid-19 group (group ii),0,0,0,1,0,1
use,0,1,0,0,0,1
use of continuous positive airway pressure,0,1,0,0,0,1
use of high flow nasal cannula alone,0,1,0,0,0,1
use of non-invasive ventilation,0,1,0,0,0,1
use of social media during covid-19,0,1,0,0,0,1
"use of the pinpointiq solution (physiq, inc.)",0,0,1,0,0,1
use/exposure to disinfectants during the coronavirus pandemic,0,1,0,0,0,1
v,0,0,0,1,0,1
v/q spect-ct,0,0,0,1,0,1
vaccine anti-covid19,0,0,0,1,0,1
vaccine coverage assessment,0,0,0,1,0,1
vaccine inoculation against sars-cov-2,0,0,0,1,0,1
validation of the lamp assays,0,0,0,1,0,1
validation of the ngs method,0,0,0,1,0,1
validation of the poct antigen,0,0,0,1,0,1
validation of the poct antigen/antibody tests,0,0,0,1,0,1
venipuncture in peripheral vein,0,0,0,1,0,1
venous blood collection,0,0,0,1,0,1
venous blood was collected for biochemistry testing,0,1,0,0,0,1
venous blood was collected for biochemistry testing.,0,1,0,0,0,1
video call,0,1,0,0,0,1
video calls,0,1,0,0,0,1
videofluoroscopic swallowing study (vfss),0,0,1,0,0,1
videofluoroscopy,0,0,0,1,0,1
views,0,0,0,1,0,1
viral sequence,0,0,0,1,0,1
visual analogue scale,0,0,0,1,0,1
visual prompts,0,1,0,0,0,1
vitamin c,0,1,0,0,0,1
voice symptom scale (voiss),0,0,0,1,0,1
volume rapid test,0,0,0,1,0,1
vv-ecmo,0,1,0,0,0,1
walk test,0,0,0,1,0,1
"wearable devices, saliva samples, survey measures",1,0,0,0,0,1
wearable medical device (empatica e4),0,0,0,1,0,1
web-based survey,1,0,0,0,0,1
web based questionnaire,0,0,1,0,0,1
weck-cel swab collection,0,0,1,0,0,1
well-being assessment,0,1,0,0,0,1
whoqol-bref,0,0,1,0,0,1
without colchicine,0,1,0,0,0,1
x-ray,0,0,0,1,0,1
yoga,0,0,0,1,0,1
zaritt burden interview,0,1,0,0,0,1
